assembly_accession	organism_name	species_taxid	refseq_category
GCF_003345295.1	Vibrio splendidus	29497	representative genome
GCF_000775715.1	Vibrio tubiashii	29498	representative genome
GCF_000200735.1	Mycoplasma haemofelis str. Langford 1	29501	representative genome
GCF_000428825.1	Desulfomicrobium escambiense DSM 10707	29503	representative genome
GCF_001704175.2	Leptospira inadai serovar Lyme	29506	representative genome
GCF_000243695.2	Leptospira kirschneri serovar Cynopteri str. 3522 CT	29507	representative genome
GCF_002811905.1	Leptospira meyeri	29508	representative genome
GCF_000266885.1	Turneriella parva DSM 21527	29510	representative genome
GCF_000332515.2	Leptospira wolbachii serovar Codice str. CDC	29511	representative genome
GCF_000165595.2	Borreliella afzelii PKo	29518	representative genome
GCF_001922545.1	Borreliella garinii	29519	representative genome
GCF_000825665.2	Borrelia crocidurae	29520	representative genome
GCF_008016445.1	Brachyspira aalborgi	29522	representative genome
GCF_900167105.1	Porphyromonas circumdentaria	29524	representative genome
GCF_012844305.1	Flammeovirga aprica JL-4	29528	representative genome
GCF_900110835.1	Chitinophaga arvensicola	29529	representative genome
GCF_000379725.1	Cytophaga aurantiaca DSM 3654	29530	representative genome
GCF_900142715.1	Flavobacterium pectinovorum	29533	representative genome
GCF_900142735.1	Flavobacterium saccharophilum	29534	representative genome
GCF_900114945.1	Flavobacterium succinicans	29536	representative genome
GCF_900108055.1	Thermoleophilum album	29539	representative genome
GCF_001887715.1	Pelobacter acetylenicus	29542	representative genome
GCF_000015045.1	Pelobacter propionicus DSM 2379	29543	representative genome
GCF_004361735.1	Azoarcus indigens	29545	representative genome
GCF_000331715.1	Lawsonia intracellularis N343	29546	representative genome
GCF_000024845.1	Rhodothermus marinus DSM 4252	29549	representative genome
GCF_900660745.1	Acholeplasma axanthum	29552	representative genome
GCF_900660515.1	Mycoplasma bovirhinis	29553	representative genome
GCF_000828855.1	Mycoplasma canadense	29554	representative genome
GCF_000988065.1	Mycoplasma canis	29555	representative genome
GCF_900660495.1	Mycoplasmopsis gallinacea	29556	representative genome
GCF_000621085.1	Mycoplasma gallinarum DSM 19816	29557	representative genome
GCF_004365165.1	Mycoplasma hyosynoviae	29559	representative genome
GCF_000518305.1	Mycoplasma imitans ATCC 51306	29560	representative genome
GCF_900660695.1	Mycoplasma meleagridis	29561	representative genome
GCF_009756935.1	Mycoplasma ovipneumoniae	29562	representative genome
GCF_900114545.1	Halanaerobium salsuginis	29563	representative genome
GCF_009846525.1	Halomonas meridiana	29570	representative genome
GCF_900142895.1	Halomonas subglaciescola	29571	representative genome
GCF_007989465.1	Halomonas halophila	29573	representative genome
GCF_002288025.1	Taylorella equigenitalis	29575	representative genome
GCF_013372045.1	Janthinobacterium lividum	29581	representative genome
GCF_000022325.1	Caldicellulosiruptor bescii DSM 6725	31899	representative genome
GCF_000020485.1	Halothermothrix orenii H 168	31909	representative genome
GCF_007991175.1	Halovibrio variabilis	31910	representative genome
GCF_900445875.1	Brevibacterium iodinum	31943	representative genome
GCF_000943515.2	Amycolatopsis orientalis	31958	representative genome
GCF_900105055.1	Amycolatopsis lurida	31959	representative genome
GCF_000425065.1	Actinomadura rifamycini DSM 43936	31962	representative genome
GCF_000154285.1	Absiella dolichum DSM 3991	31971	representative genome
GCF_000340375.1	Eggerthia catenaformis OT 569 = DSM 20559	31973	representative genome
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831	31998	representative genome
GCF_013267375.1	Achromobacter denitrificans	32002	representative genome
GCF_002554425.1	Comamonas terrigena	32013	representative genome
GCF_000007905.1	Helicobacter hepaticus ATCC 51449	32025	representative genome
GCF_900112675.1	Acidovorax konjaci	32040	representative genome
GCF_000012525.1	Synechococcus elongatus PCC 7942 = FACHB-805	32046	representative genome
GCF_003990665.1	Thermosynechococcus vulcanus NIES-2134	32053	representative genome
GCF_000317435.1	Calothrix sp. PCC 6303	32054	representative genome
GCF_007830875.1	Calothrix desertica PCC 7102	32056	representative genome
GCF_003966215.1	Deinococcus radiophilus	32062	representative genome
GCF_000517565.1	Desulfurella acetivorans A63	33002	representative genome
GCF_002860625.1	Winkia neuii	33007	representative genome
GCF_003097035.1	Rhodococcus globerulus	33008	representative genome
GCF_000227295.1	Cutibacterium avidum ATCC 25577	33010	representative genome
GCF_900186975.1	Cutibacterium granulosum	33011	representative genome
GCF_000411175.1	Propionimicrobium lymphophilum ACS-093-V-SCH5	33012	representative genome
GCF_000497245.1	Sporolactobacillus laevolacticus DSM 442	33018	representative genome
GCF_003945365.1	Phascolarctobacterium faecium	33025	representative genome
GCF_003970495.1	Staphylococcus saccharolyticus	33028	representative genome
GCF_002871895.1	Anaerococcus hydrogenalis	33029	representative genome
GCF_900454665.1	Peptoniphilus indolicus	33030	representative genome
GCF_002884815.1	Peptoniphilus lacrimalis	33031	representative genome
GCF_000758765.1	Anaerococcus lactolyticus S7-1-13	33032	representative genome
GCF_000800295.1	Parvimonas micra	33033	representative genome
GCF_900445285.1	Anaerococcus prevotii	33034	representative genome
GCF_004210255.1	Blautia producta	33035	representative genome
GCF_001546165.1	Anaerococcus tetradius	33036	representative genome
GCF_000163295.1	Anaerococcus vaginalis ATCC 51170	33037	representative genome
GCF_009831375.1	[Ruminococcus] gnavus ATCC 29149	33038	representative genome
GCF_001405315.1	[Ruminococcus] torques	33039	representative genome
GCF_000154425.1	Coprococcus eutactus ATCC 27759	33043	representative genome
GCF_900445535.1	Bartonella doshiae	33044	representative genome
GCF_000022725.1	Bartonella grahamii as4aup	33045	representative genome
GCF_000278295.1	Bartonella taylorii 8TBB	33046	representative genome
GCF_000278235.1	Bartonella vinsonii subsp. arupensis OK-94-513	33047	representative genome
GCF_003034995.1	Rhodobacter veldkampii DSM 11550	33049	representative genome
GCF_001314325.1	Sphingopyxis macrogoltabida	33050	representative genome
GCF_001591005.1	Sphingomonas sanguinis NBRC 13937	33051	representative genome
GCF_002374275.1	Sphingopyxis terrae subsp. ummariensis	33052	representative genome
GCF_002863305.1	Neisseria perflava	33053	representative genome
GCF_008694225.1	Acidithiobacillus caldus	33059	representative genome
GCF_013282725.1	Yersinia mollaretii ATCC 43969	33060	representative genome
GCF_900184295.1	Pseudomonas viridiflava	33069	representative genome
GCF_002754935.1	Synechococcus lividus PCC 6715	33070	representative genome
GCF_000011385.1	Gloeobacter violaceus PCC 7421	33072	representative genome
GCF_003610015.1	Zymobacter palmae	33074	representative genome
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196	33075	representative genome
GCF_000195315.1	Coriobacterium glomerans PW2	33871	representative genome
GCF_000717135.1	Catenuloplanes japonicus	33876	representative genome
GCF_900142065.1	Agromyces cerinus subsp. cerinus	33878	representative genome
GCF_004216665.1	Agromyces ramosus	33879	representative genome
GCF_013359885.1	Curtobacterium luteum	33881	representative genome
GCF_003339665.1	Microbacterium arborescens	33883	representative genome
GCF_006716815.1	Microbacterium lacticum	33885	representative genome
GCF_007828845.1	Rathayibacter rathayi	33887	representative genome
GCF_001641005.1	Rathayibacter tritici	33888	representative genome
GCF_900169275.1	Brevibacterium casei CIP 102111	33889	representative genome
GCF_900078675.2	Mycobacterium interjectum	33895	representative genome
GCF_005280195.1	Streptomyces galbus	33898	representative genome
GCF_008704575.1	Streptomyces galilaeus	33899	representative genome
GCF_002154555.1	Streptomyces murinus	33900	representative genome
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893	33903	representative genome
GCF_002846655.1	Bifidobacterium thermophilum	33905	representative genome
GCF_003001495.1	Actinopolyspora mortivallis	33906	representative genome
GCF_002813375.1	Pseudonocardia alni	33907	representative genome
GCF_006539585.1	Pseudonocardia saturnea	33909	representative genome
GCF_000454025.1	Amycolatopsis mediterranei RB	33910	representative genome
GCF_000299315.2	Microbacterium barkeri 2011-R4	33917	representative genome
GCF_006539765.1	Microbacterium liquefaciens	33918	representative genome
GCF_002272945.1	Mycoplasma agassizii	33922	representative genome
GCF_009936335.1	Mycoplasma felis	33923	representative genome
GCF_000687795.1	Mycoplasma testudinis ATCC 43263	33924	representative genome
GCF_002250055.1	Bacillus cohnii	33932	representative genome
GCF_000367505.1	Anoxybacillus flavithermus NBRC 109594	33934	representative genome
GCF_001281525.1	Lysinibacillus macroides	33935	representative genome
GCF_000948185.1	Aeribacillus pallidus	33936	representative genome
GCF_002243665.1	Geobacillus thermocatenulatus	33938	representative genome
GCF_002072065.1	Geobacillus thermodenitrificans	33940	representative genome
GCF_007855915.1	Geobacillus thermoleovorans	33941	representative genome
GCF_000454065.1	Brevibacillus thermoruber 423	33942	representative genome
GCF_000092905.1	Kyrpidia tusciae DSM 2912	33943	representative genome
GCF_001885775.1	Enterococcus avium	33945	representative genome
GCF_003660425.1	Kurthia gibsonii	33946	representative genome
GCF_000247605.1	Acetobacterium woodii DSM 1030	33952	representative genome
GCF_900129955.1	Clostridium magnum DSM 2767	33954	representative genome
GCF_003316915.1	Lactobacillus johnsonii	33959	representative genome
GCF_001623425.1	Lactobacillus collinoides	33960	representative genome
GCF_001436985.1	Lactobacillus homohiochii	33961	representative genome
GCF_009739535.1	Lactobacillus kefiri	33962	representative genome
GCF_004354555.1	Leuconostoc citreum	33964	representative genome
GCF_003346375.1	Leuconostoc pseudomesenteroides	33968	representative genome
GCF_003966875.1	Melissococcus plutonius	33970	representative genome
GCF_001700325.1	Caryophanon latum	33977	representative genome
GCF_001700315.1	Caryophanon tenue	33978	representative genome
GCF_003752415.1	Luteococcus japonicus	33984	representative genome
GCF_000702585.1	Exiguobacterium aurantiacum DSM 6208	33987	representative genome
GCF_000964995.1	Rickettsia amblyommatis str. Darkwater	33989	representative genome
GCF_000012385.1	Rickettsia bellii RML369-C	33990	representative genome
GCF_000964905.1	Rickettsia rhipicephali str. Ect	33992	representative genome
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon	33994	representative genome
GCF_002173515.1	Komagataeibacter europaeus	33995	representative genome
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5	33996	representative genome
GCF_900129125.1	Acidocella aminolytica 101 = DSM 11237	33998	representative genome
GCF_900110285.1	Paracoccus alcaliphilus	34002	representative genome
GCF_000444995.1	Paracoccus aminophilus JCM 7686	34003	representative genome
GCF_900005615.1	Paracoccus aminovorans	34004	representative genome
GCF_900156255.1	Paracoccus thiocyanatus	34006	representative genome
GCF_003386575.1	Paracoccus versutus	34007	representative genome
GCF_000429625.1	Azospirillum halopraeferens DSM 3675	34010	representative genome
GCF_000429645.1	Niveispirillum irakense DSM 11586	34011	representative genome
GCF_003201955.1	Blastomonas natatoria	34015	representative genome
GCF_003258835.1	Rhodobium orientis	34017	representative genome
GCF_000016185.1	Rhodospirillum centenum SW	34018	representative genome
GCF_900156155.1	Aromatoleum tolulyticum	34027	representative genome
GCF_000019785.1	Leptothrix cholodnii SP-6	34029	representative genome
GCF_000745975.1	Desulfobacter vibrioformis DSM 8776	34031	representative genome
GCF_003956125.2	Rahnella aquatilis	34038	representative genome
GCF_000383855.1	Methylobacter marinus A45	34058	representative genome
GCF_900453305.1	Moraxella atlantae	34059	representative genome
GCF_900453175.1	Moraxella caviae	34060	representative genome
GCF_900637105.1	Moraxella cuniculi	34061	representative genome
GCF_001553955.1	Moraxella osloensis	34062	representative genome
GCF_000384415.1	Cycloclasticus pugetii PS-1	34068	representative genome
GCF_000023345.1	Variovorax paradoxus S110	34073	representative genome
GCF_000346485.2	Scytonema hofmannii PCC 7110	34078	representative genome
GCF_000252855.1	Riemerella anatipestifer ATCC 11845 = DSM 15868	34085	representative genome
GCF_900103515.1	Pedobacter antarcticus	34086	representative genome
GCF_003054045.1	Sphingobacterium faecium	34087	representative genome
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1	34090	representative genome
GCF_900099615.1	Borreliella japonica	34095	representative genome
GCF_900112165.1	Brevinema andersonii	34097	representative genome
GCF_008329925.1	Sphaerotilus natans subsp. sulfidivorans	34103	representative genome
GCF_000024565.1	Streptobacillus moniliformis DSM 12112	34105	representative genome
GCF_013394805.1	Mogibacterium timidum	35519	representative genome
GCF_000007985.2	Geobacter sulfurreducens PCA	35554	representative genome
GCF_000158975.1	Streptomyces griseoflavus Tu4000	35619	representative genome
GCF_001418415.1	Streptomyces hirsutus	35620	representative genome
GCF_009208535.1	Streptomyces mobaraensis	35621	representative genome
GCF_900099985.1	Thermostaphylospora chromogena	35622	representative genome
GCF_000953195.1	Acholeplasma oculi	35623	representative genome
GCF_004341395.1	Heliophilum fasciatum	35700	representative genome
GCF_000019165.1	Heliobacterium modesticaldum Ice1	35701	representative genome
GCF_001559075.2	Citrobacter amalonaticus	35703	representative genome
GCF_000384115.1	Sporichthya polymorpha DSM 43042	35751	representative genome
GCF_900113015.1	Actinoplanes philippinensis	35752	representative genome
GCF_000716715.1	Dactylosporangium aurantiacum	35754	representative genome
GCF_000980835.1	Corynebacterium kutscheri	35755	representative genome
GCF_900447205.1	Corynebacterium pilosum	35756	representative genome
GCF_900111265.1	Corynebacterium cystitidis DSM 20524	35757	representative genome
GCF_002761235.1	Bifidobacterium choerinum	35760	representative genome
GCF_001696485.1	Planobispora rosea	35762	representative genome
GCF_009687845.1	Acrocarpospora corrugata	35763	representative genome
GCF_003011965.1	Streptosporangium nondiastaticum	35764	representative genome
GCF_000687775.1	Mycoplasma felifaucium ATCC 43428	35768	representative genome
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265	35786	representative genome
GCF_002940945.1	Lactobacillus pontis	35787	representative genome
